River Section,Compartment,MP form,Size Bin,k_discorporation,k_fragmentation,k_heteroaggregation,k_heteroaggregate_breackup,k_biofouling,k_defouling,k_advective_transport,k_settling,k_rising,k_mixing,k_sediment_resuspension,k_burial
RS5,Surface Water,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,2044.3290063578356,0.0,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS5,Surface Water,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,3.5082689206237685,0.0,0.0,2.6000000000000002e-05,0.005637044836871036,0.0,4.900000000000001e-09,0.0,0.0
RS5,Surface Water,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.01806399531808288,0.0,0.0,2.6000000000000002e-05,0.0007569134385752076,0.0,4.900000000000001e-09,0.0,0.0
RS5,Surface Water,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0024385398904194417,0.0,0.0,2.6000000000000002e-05,0.00026325006552658365,0.0,4.900000000000001e-09,0.0,0.0
RS5,Surface Water,heterBiofMP,mp5,8.022536812036404e-11,"(0, 0)",0.0,0.00183046008267456,0.0,0.0,2.6000000000000002e-05,0.00022212295130920708,0.0,4.900000000000001e-09,0.0,0.0
RS5,Flowing Water,freeMP,mp1,1.6045073624072808e-09,"(3.1709791983764586e-08, 1000.0)",21928.606056879955,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,freeMP,mp2,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999999)",5.7077061504378515,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,freeMP,mp3,1.6045073624072808e-09,"(3.170979198376459e-10, 999.9999999999997)",0.004785663284216708,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,freeMP,mp4,1.6045073624072808e-09,"(3.1709791983764586e-11, 1000.0)",4.140236421405342e-05,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,freeMP,mp5,1.6045073624072808e-09,"(3.1709791983764588e-12, 1000.0000000000001)",4.556187747221936e-05,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,2192.8605932145542,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.5707693998140393,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.00047848171215929627,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,4.258401353516199e-06,3.858024691358025e-07,0.0,2.5999999999999995e-05,1.1746787476476293e-08,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,2.8639142214099005e-06,3.858024691358025e-07,0.0,2.5999999999999995e-05,2.8455384146386956e-08,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801118e-08, 1000.0)",20443.29031656357,0.0,0.0,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-09, 1000.0000000000001)",35.08265953716382,0.0,0.0,0.0,2.5999999999999995e-05,0.00011504160526077773,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,biofMP,mp3,3.2090147248145615e-10,"(3.170979198376459e-10, 999.9999999999997)",0.18063309371622208,0.0,0.0,0.0,2.5999999999999995e-05,1.5446580106848145e-05,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070525e-10, 1000.0000000000002)",0.024380966537051282,0.0,0.0,0.0,2.5999999999999995e-05,5.371321442062357e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,biofMP,mp5,3.2090147248145615e-10,"(1.6013444951801118e-10, 1000.0000000000002)",0.018300414307550607,0.0,0.0,0.0,2.5999999999999995e-05,4.531892141092731e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,2044.3290063578356,0.0,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,3.5082689206237685,0.0,0.0,2.5999999999999995e-05,0.00011504173136471502,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.01806399531808288,0.0,0.0,2.5999999999999995e-05,1.5447213032147095e-05,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0024385398904194417,0.0,0.0,2.5999999999999995e-05,5.372450316869054e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Flowing Water,heterBiofMP,mp5,8.022536812036404e-11,"(0, 0)",0.0,0.00183046008267456,0.0,0.0,2.5999999999999995e-05,4.5331214552899405e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS5,Stagnant Water,freeMP,mp1,1.6045073624072808e-09,"(3.1709791983764586e-08, 1000.0)",21928.606056879955,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,freeMP,mp2,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999999)",5.7077061504378515,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,freeMP,mp3,1.6045073624072808e-09,"(3.170979198376459e-10, 999.9999999999997)",0.004785663284216708,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,freeMP,mp4,1.6045073624072808e-09,"(3.1709791983764586e-11, 1000.0)",4.140236421405342e-05,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,freeMP,mp5,1.6045073624072808e-09,"(3.1709791983764588e-12, 1000.0000000000001)",4.556187747221936e-05,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,2192.8605932145542,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.5707693998140393,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.00047848171215929627,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,4.258401353516199e-06,3.858024691358025e-08,0.0,0.0,1.4389814658683457e-07,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,2.8639142214099005e-06,3.858024691358025e-08,0.0,0.0,3.485784557932402e-07,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801118e-08, 1000.0)",20443.29031656357,0.0,0.0,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-09, 1000.0000000000001)",35.08265953716382,0.0,0.0,0.0,0.0,0.0014092596644445271,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,biofMP,mp3,3.2090147248145615e-10,"(3.170979198376459e-10, 999.9999999999997)",0.18063309371622208,0.0,0.0,0.0,0.0,0.0001892206063088898,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070525e-10, 1000.0000000000002)",0.024380966537051282,0.0,0.0,0.0,0.0,6.579868766526387e-05,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,biofMP,mp5,3.2090147248145615e-10,"(1.6013444951801118e-10, 1000.0000000000002)",0.018300414307550607,0.0,0.0,0.0,0.0,5.551567872838596e-05,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,2044.3290063578356,0.0,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,3.5082689206237685,0.0,0.0,0.0,0.001409261209217759,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.01806399531808288,0.0,0.0,0.0,0.0001892283596438019,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0024385398904194417,0.0,0.0,0.0,6.581251638164591e-05,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Stagnant Water,heterBiofMP,mp5,8.022536812036404e-11,"(0, 0)",0.0,0.00183046008267456,0.0,0.0,0.0,5.553073782730177e-05,0.0,1.2250000000000001e-12,0.0,0.0
RS5,Sediment,freeMP,mp1,1.6045073624072808e-09,"(3.1709791983764586e-08, 1000.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,freeMP,mp2,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999999)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,freeMP,mp3,1.6045073624072808e-09,"(3.170979198376459e-10, 999.9999999999997)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,freeMP,mp4,1.6045073624072808e-09,"(3.1709791983764586e-11, 1000.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,freeMP,mp5,1.6045073624072808e-09,"(3.1709791983764588e-12, 1000.0000000000001)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801118e-08, 1000.0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-09, 1000.0000000000001)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,biofMP,mp3,3.2090147248145615e-10,"(3.170979198376459e-10, 999.9999999999997)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070525e-10, 1000.0000000000002)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,biofMP,mp5,3.2090147248145615e-10,"(1.6013444951801118e-10, 1000.0000000000002)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS5,Sediment,heterBiofMP,mp5,8.022536812036404e-11,"(0, 0)",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.1499999999999998e-05,2.7999999999999996e-05
RS6,Surface Water,freeMP,mp1,1.6045073624072808e-09,"(3.170979198376459e-07, 1000.0)",21928.606056879955,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,freeMP,mp2,1.6045073624072808e-09,"(3.170979198376459e-08, 999.9999999999999)",5.7077061504378515,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,freeMP,mp3,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999997)",0.004785663284216708,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,freeMP,mp4,1.6045073624072808e-09,"(3.170979198376459e-10, 1000.0)",4.140236421405342e-05,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,freeMP,mp5,1.6045073624072808e-09,"(3.170979198376459e-11, 1000.0000000000001)",4.556187747221936e-05,0.0,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,2192.8605932145542,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.5707693998140393,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.00047848171215929627,1.1574074074074074e-06,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,4.258401353516199e-06,1.1574074074074074e-06,0.0,2.6000000000000002e-05,5.755925863473383e-07,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,2.8639142214099005e-06,1.1574074074074074e-06,0.0,2.6000000000000002e-05,1.3943138231729607e-06,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801116e-07, 1000.0)",20443.29031656357,0.0,0.0,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-08, 1000.0000000000001)",35.08265953716382,0.0,0.0,0.0,2.6000000000000002e-05,0.0056370386577781085,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,biofMP,mp3,3.2090147248145615e-10,"(3.1709791983764586e-09, 999.9999999999997)",0.18063309371622208,0.0,0.0,0.0,2.6000000000000002e-05,0.0007568824252355592,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070526e-09, 1000.0000000000002)",0.024380966537051282,0.0,0.0,0.0,2.6000000000000002e-05,0.00026319475066105547,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,biofMP,mp5,3.2090147248145615e-10,"(1.601344495180112e-09, 1000.0000000000002)",0.018300414307550607,0.0,0.0,0.0,2.6000000000000002e-05,0.00022206271491354384,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,2044.3290063578356,0.0,0.0,2.6000000000000002e-05,0.0,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,3.5082689206237685,0.0,0.0,2.6000000000000002e-05,0.005637044836871036,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.01806399531808288,0.0,0.0,2.6000000000000002e-05,0.0007569134385752076,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0024385398904194417,0.0,0.0,2.6000000000000002e-05,0.00026325006552658365,0.0,4.900000000000001e-09,0.0,0.0
RS6,Surface Water,heterBiofMP,mp5,8.022536812036404e-11,"(0, 0)",0.0,0.00183046008267456,0.0,0.0,2.6000000000000002e-05,0.00022212295130920708,0.0,4.900000000000001e-09,0.0,0.0
RS6,Flowing Water,freeMP,mp1,1.6045073624072808e-09,"(3.1709791983764586e-08, 1000.0)",21928.606056879955,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,freeMP,mp2,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999999)",5.7077061504378515,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,freeMP,mp3,1.6045073624072808e-09,"(3.170979198376459e-10, 999.9999999999997)",0.004785663284216708,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,freeMP,mp4,1.6045073624072808e-09,"(3.1709791983764586e-11, 1000.0)",4.140236421405342e-05,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,freeMP,mp5,1.6045073624072808e-09,"(3.1709791983764588e-12, 1000.0000000000001)",4.556187747221936e-05,0.0,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,2192.8605932145542,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.5707693998140393,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.00047848171215929627,3.858024691358025e-07,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,4.258401353516199e-06,3.858024691358025e-07,0.0,2.5999999999999995e-05,1.1746787476476293e-08,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,2.8639142214099005e-06,3.858024691358025e-07,0.0,2.5999999999999995e-05,2.8455384146386956e-08,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801118e-08, 1000.0)",20443.29031656357,0.0,0.0,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-09, 1000.0000000000001)",35.08265953716382,0.0,0.0,0.0,2.5999999999999995e-05,0.00011504160526077773,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,biofMP,mp3,3.2090147248145615e-10,"(3.170979198376459e-10, 999.9999999999997)",0.18063309371622208,0.0,0.0,0.0,2.5999999999999995e-05,1.5446580106848145e-05,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070525e-10, 1000.0000000000002)",0.024380966537051282,0.0,0.0,0.0,2.5999999999999995e-05,5.371321442062357e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,biofMP,mp5,3.2090147248145615e-10,"(1.6013444951801118e-10, 1000.0000000000002)",0.018300414307550607,0.0,0.0,0.0,2.5999999999999995e-05,4.531892141092731e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,2044.3290063578356,0.0,0.0,2.5999999999999995e-05,0.0,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,3.5082689206237685,0.0,0.0,2.5999999999999995e-05,0.00011504173136471502,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.01806399531808288,0.0,0.0,2.5999999999999995e-05,1.5447213032147095e-05,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0024385398904194417,0.0,0.0,2.5999999999999995e-05,5.372450316869054e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Flowing Water,heterBiofMP,mp5,8.022536812036404e-11,"(0, 0)",0.0,0.00183046008267456,0.0,0.0,2.5999999999999995e-05,4.5331214552899405e-06,0.0,"(1e-10, 1e-13)",0.0,0.0
RS6,Stagnant Water,freeMP,mp1,1.6045073624072808e-09,"(3.1709791983764586e-08, 1000.0)",21928.606056879955,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,freeMP,mp2,1.6045073624072808e-09,"(3.1709791983764586e-09, 999.9999999999999)",5.7077061504378515,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,freeMP,mp3,1.6045073624072808e-09,"(3.170979198376459e-10, 999.9999999999997)",0.004785663284216708,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,freeMP,mp4,1.6045073624072808e-09,"(3.1709791983764586e-11, 1000.0)",4.140236421405342e-05,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,freeMP,mp5,1.6045073624072808e-09,"(3.1709791983764588e-12, 1000.0000000000001)",4.556187747221936e-05,0.0,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterMP,mp1,1.6045073624072808e-10,"(0, 0)",0.0,2192.8605932145542,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterMP,mp2,1.6045073624072808e-10,"(0, 0)",0.0,0.5707693998140393,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterMP,mp3,1.6045073624072808e-10,"(0, 0)",0.0,0.00047848171215929627,3.858024691358025e-08,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterMP,mp4,1.6045073624072808e-10,"(0, 0)",0.0,4.258401353516199e-06,3.858024691358025e-08,0.0,0.0,1.4389814658683457e-07,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterMP,mp5,1.6045073624072808e-10,"(0, 0)",0.0,2.8639142214099005e-06,3.858024691358025e-08,0.0,0.0,3.485784557932402e-07,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,biofMP,mp1,3.2090147248145615e-10,"(1.6013444951801118e-08, 1000.0)",20443.29031656357,0.0,0.0,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,biofMP,mp2,3.2090147248145615e-10,"(1.7440385591070522e-09, 1000.0000000000001)",35.08265953716382,0.0,0.0,0.0,0.0,0.0014092596644445271,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,biofMP,mp3,3.2090147248145615e-10,"(3.170979198376459e-10, 999.9999999999997)",0.18063309371622208,0.0,0.0,0.0,0.0,0.0001892206063088898,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,biofMP,mp4,3.2090147248145615e-10,"(1.7440385591070525e-10, 1000.0000000000002)",0.024380966537051282,0.0,0.0,0.0,0.0,6.579868766526387e-05,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,biofMP,mp5,3.2090147248145615e-10,"(1.6013444951801118e-10, 1000.0000000000002)",0.018300414307550607,0.0,0.0,0.0,0.0,5.551567872838596e-05,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterBiofMP,mp1,8.022536812036404e-11,"(0, 0)",0.0,2044.3290063578356,0.0,0.0,0.0,0.0,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterBiofMP,mp2,8.022536812036404e-11,"(0, 0)",0.0,3.5082689206237685,0.0,0.0,0.0,0.001409261209217759,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterBiofMP,mp3,8.022536812036404e-11,"(0, 0)",0.0,0.01806399531808288,0.0,0.0,0.0,0.0001892283596438019,0.0,1.2250000000000001e-12,0.0,0.0
RS6,Stagnant Water,heterBiofMP,mp4,8.022536812036404e-11,"(0, 0)",0.0,0.0024385398904194417,0.0,0.0,0.0,6.581251638164591e-05,0.0,1.2250000000000001e-12,0.0,0.0
